,GDP,CPI,Interest,Net Income Margin,Diluted EPS,Current Ratio,Cash Conversion Cycle,Debt to Equity,Volume,Unemployment,MA30,MA7,RSI,ADX,ATR,OBV,Walmart,S&P500
2016-05-02,0.0407173937558917,0.0107847646212462,0.3,3.53,0.33,0.84,11.88,0.5951156151135575,36297000.0,4.8,19.255699602762856,19.139019557407924,32.31025367165763,12.99948289123219,0.1086317470814459,-38250000.0,18.95552635192871,2081.429931640625
2016-05-03,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,22829100.0,4.8,19.24195753733317,19.06369835989816,40.778098993497466,13.40359524588946,0.1152955706977684,-15420900.0,18.79005622863769,2063.3701171875
2016-05-04,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,17767800.0,4.8,19.22269980112712,18.971550260271343,36.72383821237575,14.365134026283794,0.1188794673115718,-33188700.0,18.843351364135746,2051.1201171875
2016-05-05,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,18088500.0,4.8,19.204844601949056,18.8822078704834,38.83320964525415,14.951549546356317,0.1141948721820343,-15100200.0,18.84895133972168,2050.6298828125
2016-05-06,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,24273000.0,4.8,19.191476504007976,18.814098358154297,39.06307668429659,15.46270240879742,0.1064380938537416,9172800.0,19.140623092651367,2057.139892578125
2016-05-07,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,29476200.0,4.8,19.18409150441488,18.869387217930385,49.671844511148464,14.400918810177377,0.1196690695020235,38649000.0,19.140623092651367,2057.139892578125
2016-05-08,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,29476200.0,4.8,19.18437213897705,18.924676077706472,49.671844511148464,13.414976897173046,0.1111212788233075,38649000.0,19.140623092651367,2057.139892578125
2016-05-09,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,29476200.0,4.8,19.18614845275879,18.97996493748256,49.671844511148464,12.49945940652617,0.1031840446216427,38649000.0,19.3369369506836,2058.68994140625
2016-05-10,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,25968600.0,4.8,19.194468561808268,19.034452165876115,56.09707245243412,12.49076230294608,0.1098361741509701,64617600.0,19.29205894470215,2084.389892578125
2016-05-11,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,19208700.0,4.8,19.20129273732504,19.10616683959961,54.38766643618565,12.235641016721573,0.105196304996004,45408900.0,18.76095390319824,2064.4599609375
2016-05-12,0.0407173937558917,0.0107847646212462,0.37,3.53,0.33,0.84,11.88,0.5951156151135575,43792500.0,4.8,19.196583239237462,19.0943957737514,39.17398448008039,12.916470588255535,0.1356183576037113,1616400.0,18.8852596282959,2064.110107421875
